"INTERIM","INTERIMC","DOSE","MEAN","SE","LOWER","UPPER","N","DROPPED","STOPPED"
0,"FULL",0,3.22093506493506,2.36639482812359,-1.51185459131211,7.95372472118224,77,0,0
0,"FULL",5,4.36257534246575,2.30335895377579,-0.244142565085833,8.96929325001734,73,0,0
0,"FULL",25,7.34963725490196,2.20324024563470,2.94315676363255,11.7561177461714,102,0,0
0,"FULL",50,8.86347297297297,2.0471076035117,4.76925776594957,12.9576881799964,74,0,0
0,"FULL",100,10.8634729729730,2.17141057129290,6.52065183038718,15.2062941155588,74,0,0
1,"1",0,2.06846428571429,1.89714535029837,-1.72582641488246,5.86275498631103,28,0,0
1,"1",5,4.27236,2.7306350433553,-1.1889100867106,9.7336300867106,25,1,0
1,"1",25,7.36985,2.24053544528511,2.88877910942978,11.8509208905702,20,0,0
1,"1",50,9.52481818181818,2.33976467348166,4.84528883485487,14.2043475287815,22,0,0
1,"1",100,10.6595454545455,2.17307091741646,6.31340361971254,15.0056872893784,22,0,0
2,"2",0,3.07278947368421,2.45742771828624,-1.84206596288826,7.98764491025669,57,0,0
2,"2",5,NA,NA,NA,NA,NA,1,0
2,"2",25,7.40556944444444,2.31084339110381,2.78388266223683,12.0272562266521,72,0,0
2,"2",50,8.81859615384615,2.10005270017548,4.61849075349519,13.0187015541971,52,0,0
2,"2",100,11.0026315789474,2.09056213075727,6.82150731743282,15.1837558404619,57,0,0
3,"FINAL",0,3.22093506493506,2.36639482812359,-1.51185459131211,7.95372472118224,77,0,0
3,"FINAL",5,NA,NA,NA,NA,NA,1,0
3,"FINAL",25,7.34963725490196,2.20324024563470,2.94315676363255,11.7561177461714,102,0,0
3,"FINAL",50,8.86347297297297,2.0471076035117,4.76925776594957,12.9576881799964,74,0,0
3,"FINAL",100,10.8634729729730,2.17141057129290,6.52065183038718,15.2062941155588,74,0,0
