"INTERIM","INTERIMC","DOSE","MEAN","SE","LOWER","UPPER","N","DROPPED","STOPPED"
0,"FULL",0,1.93514492753623,2.77141355032453,-3.60768217311283,7.4779720281853,69,0,0
0,"FULL",5,2.95584615384615,2.21624550346389,-1.47664485308164,7.38833716077394,91,0,0
0,"FULL",25,5.59576543209877,2.49812746508062,0.599510501937526,10.59202036226,81,0,0
0,"FULL",50,7.72089855072464,2.11555172990632,3.48979509091199,11.9520020105373,69,0,0
0,"FULL",100,9.8266,2.10758475005198,5.61143049989603,14.0417695001040,90,0,0
1,"1",0,1.34842105263158,2.59067029755685,-3.83291954248211,6.52976164774527,19,0,0
1,"1",5,3.30392592592593,2.17256751556462,-1.04120910520331,7.64906095705516,27,1,0
1,"1",25,5.45733333333333,2.87775362983404,-0.298173926334744,11.2128405930014,30,1,0
1,"1",50,7.43138461538462,2.48839355531914,2.45459750474633,12.4081717260229,26,0,0
1,"1",100,10.1249696969697,2.05930973697573,6.00635022301825,14.2435891709211,33,0,0
2,"2",0,2.03342,2.84000925616485,-3.64659851232971,7.7134385123297,50,0,0
2,"2",5,NA,NA,NA,NA,NA,1,0
2,"2",25,NA,NA,NA,NA,NA,1,0
2,"2",50,7.60120454545455,2.14930701194752,3.30259052155951,11.8998185693496,44,0,0
2,"2",100,10.0807076923077,1.99430454453330,6.0920986032411,14.0693167813743,65,0,0
3,"FINAL",0,1.93514492753623,2.77141355032453,-3.60768217311283,7.4779720281853,69,0,0
3,"FINAL",5,NA,NA,NA,NA,NA,1,0
3,"FINAL",25,NA,NA,NA,NA,NA,1,0
3,"FINAL",50,7.72089855072464,2.11555172990632,3.48979509091199,11.9520020105373,69,0,0
3,"FINAL",100,9.8266,2.10758475005198,5.61143049989603,14.0417695001040,90,0,0
