"INTERIM","INTERIMC","DOSE","MEAN","SE","LOWER","UPPER","N","DROPPED","STOPPED"
0,"FULL",0,0.76,0.21,-6.96,8.48,50,0,0
0,"FULL",10,16.91,1.3,9.19,24.63,50,0,0
0,"FULL",25,33.12,2.44,25.4,40.84,50,0,0
0,"FULL",50,49.39,2.33,41.67,57.12,50,0,0
0,"FULL",100,65.73,4.55,58,73.45,50,0,0
1,"1",0,-0.06,1.34,-6.58,6.45,10,0,0
1,"1",10,17.06,4.32,10.54,23.58,10,1,0
1,"1",25,33.73,3.76,27.21,40.25,10,0,0
1,"1",50,49.97,5,43.45,56.49,10,0,0
1,"1",100,65.8,5.34,59.28,72.31,10,0,0
2,"2",0,-0.83,1.44,-7.83,6.17,20,0,1
2,"2",10,16.28,1.42,9.29,23.28,10,1,1
2,"2",25,32.99,3.12,25.99,39.99,20,1,1
2,"2",50,49.3,3.56,42.3,56.3,20,0,1
2,"2",100,65.23,6.78,58.23,72.23,20,0,1
